transaction_id,timestamp,sender_account,receiver_account,amount,currency,transaction_type,sender_country,receiver_country,is_suspicious_injected
TXN675771,2024-01-01 00:47:27,ACC00010,ACC00144,1822.1,PLN,DEPOSIT,CH,CH,False
TXN414565,2024-01-01 01:38:52,ACC00035,ACC00186,138.46,PLN,DEPOSIT,CH,US,False
TXN155708,2024-01-01 03:55:48,ACC00095,ACC00142,2944.86,EUR,TRANSFER,US,PL,False
TXN771440,2024-01-01 04:02:36,ACC00039,ACC00169,3358.94,PLN,PAYMENT,US,DE,False
TXN960408,2024-01-01 11:57:17,ACC00130,ACC00069,2231.41,EUR,DEPOSIT,CH,CH,False
TXN809621,2024-01-01 19:13:06,ACC00049,ACC00005,443.2,USD,WITHDRAWAL,US,US,False
TXN288678,2024-01-02 00:48:41,ACC00154,ACC00179,401.98,CHF,DEPOSIT,PL,PL,False
TXN298202,2024-01-02 01:29:22,ACC00105,ACC00066,1044.06,PLN,TRANSFER,CH,PL,False
TXN946677,2024-01-02 02:47:58,ACC00128,ACC00141,118.12,CHF,WITHDRAWAL,DE,CH,False
TXN802629,2024-01-02 03:44:32,ACC00033,ACC00105,18214.02,CHF,PAYMENT,PL,PL,False
TXN416503,2024-01-02 06:36:46,ACC00133,ACC00035,3135.25,EUR,WITHDRAWAL,DE,US,False
TXN733561,2024-01-02 06:44:50,ACC00125,ACC00124,19.2,USD,PAYMENT,DE,DE,False
TXN360096,2024-01-02 07:49:50,ACC00123,ACC00083,809.74,EUR,PAYMENT,DE,UK,False
TXN257692,2024-01-02 08:25:14,ACC00173,ACC00021,65.18,EUR,DEPOSIT,DE,CH,False
TXN157443,2024-01-02 11:49:27,ACC00102,ACC00155,1954.67,USD,DEPOSIT,DE,DE,False
TXN760929,2024-01-02 19:21:44,ACC00178,ACC00176,573.16,EUR,PAYMENT,PL,CH,False
TXN480441,2024-01-02 22:06:01,ACC00048,ACC00002,52552.29,PLN,DEPOSIT,PL,CH,False
TXN139609,2024-01-03 02:02:23,ACC00050,ACC00103,872.44,EUR,TRANSFER,DE,US,False
TXN916344,2024-01-03 02:15:15,ACC00088,ACC00138,48552.39,CHF,PAYMENT,CH,UK,False
TXN726116,2024-01-03 03:09:23,ACC00017,ACC00056,470.42,EUR,WITHDRAWAL,CH,DE,False
TXN558669,2024-01-03 05:46:17,ACC00024,ACC00007,15652.37,USD,TRANSFER,CH,CH,False
TXN240800,2024-01-03 06:04:21,ACC00172,ACC00033,138.52,PLN,TRANSFER,DE,UK,False
TXN947241,2024-01-03 06:56:18,ACC00187,ACC00194,3394.84,PLN,PAYMENT,UK,PL,False
TXN531319,2024-01-03 07:13:46,ACC00137,ACC00143,3969.87,PLN,DEPOSIT,CH,US,False
TXN968485,2024-01-03 10:47:32,ACC00065,ACC00099,341.23,PLN,WITHDRAWAL,UK,UK,False
TXN457806,2024-01-03 10:57:47,ACC00130,ACC00167,4688.97,CHF,PAYMENT,PL,UK,False
TXN174316,2024-01-03 12:59:08,ACC00156,ACC00185,132.95,USD,PAYMENT,PL,UK,False
TXN759367,2024-01-03 17:50:53,ACC00058,ACC00090,388.14,USD,DEPOSIT,US,UK,False
TXN439498,2024-01-04 01:32:42,ACC00061,ACC00152,976.86,USD,DEPOSIT,PL,DE,False
TXN195825,2024-01-04 02:44:40,ACC00062,ACC00052,43.41,CHF,TRANSFER,PL,US,False
